"NA_L3CODE","clean_id.length"
"10.1.2",48
"10.1.3",47
"10.1.4",75
"10.1.5",104
"10.1.6",199
"10.1.7",395
"10.1.8",23
"10.2.1",49
"10.2.2",385
"10.2.4",138
"11.1.1",1037
"11.1.2",425
"11.1.3",217
"12.1.1",92
"13.1.1",538
"15.4.1",214
"5.2.1",1740
"5.2.2",231
"5.3.1",472
"5.3.3",107
"6.2.10",437
"6.2.11",386
"6.2.12",599
"6.2.13",59
"6.2.14",298
"6.2.15",63
"6.2.3",513
"6.2.4",5
"6.2.5",42
"6.2.7",381
"6.2.8",281
"6.2.9",244
"7.1.7",76
"7.1.8",497
"7.1.9",61
"8.1.1",552
"8.1.10",70
"8.1.3",476
"8.1.4",1167
"8.1.5",257
"8.1.6",57
"8.1.7",794
"8.1.8",93
"8.2.1",133
"8.2.2",22
"8.2.3",68
"8.2.4",28
"8.3.1",682
"8.3.2",253
"8.3.3",1291
"8.3.4",7441
"8.3.5",18282
"8.3.6",1504
"8.3.7",5167
"8.3.8",1265
"8.4.1",2970
"8.4.2",2354
"8.4.3",1226
"8.4.4",1869
"8.4.5",2381
"8.4.6",392
"8.4.7",461
"8.4.8",709
"8.4.9",1555
"8.5.1",3080
"8.5.2",198
"8.5.3",4780
"8.5.4",1132
"9.2.1",605
"9.2.2",72
"9.2.3",513
"9.2.4",364
"9.3.1",287
"9.3.3",524
"9.3.4",36
"9.4.1",682
"9.4.2",873
"9.4.3",320
"9.4.4",43
"9.4.5",1501
"9.4.6",327
"9.4.7",785
"9.5.1",429
"9.6.1",348
