"NA_L3CODE","hnobs","lnobs","totfires","perh20"
"10.1.2",1068,355,1423,75.0527055516514
"10.1.3",384,1137,1521,25.2465483234714
"10.1.4",560,660,1220,45.9016393442623
"10.1.5",1524,2743,4267,35.7159596906492
"10.1.6",1797,3284,5081,35.3670537295808
"10.1.7",1786,790,2576,69.332298136646
"10.1.8",596,458,1054,56.5464895635674
"10.2.1",1050,919,1969,53.32656170645
"10.2.2",5343,411,5754,92.8571428571429
"10.2.4",459,497,956,48.0125523012552
"11.1.1",16365,532,16897,96.8515121027401
"11.1.2",7125,61,7186,99.1511271917618
"11.1.3",2129,255,2384,89.3036912751678
"12.1.1",618,639,1257,49.1646778042959
"13.1.1",3300,6187,9487,34.7844418678191
"15.4.1",842,680,1522,55.3219448094612
"5.2.1",10607,390,10997,96.4535782486133
"5.2.2",1480,24,1504,98.4042553191489
"5.3.1",3216,243,3459,92.9748482220295
"5.3.3",560,25,585,95.7264957264957
"6.2.10",2011,2478,4489,44.798396079305
"6.2.11",4052,1480,5532,73.2465654374548
"6.2.12",3691,1643,5334,69.1976002999625
"6.2.13",489,700,1189,41.1269974768713
"6.2.14",1266,2860,4126,30.6834706737761
"6.2.15",546,2741,3287,16.6108913903255
"6.2.3",2975,2416,5391,55.1845668707104
"6.2.4",100,370,470,21.2765957446809
"6.2.5",411,686,1097,37.4658158614403
"6.2.7",1957,2180,4137,47.3048102489727
"6.2.8",2465,1949,4414,55.8450385138197
"6.2.9",1571,2598,4169,37.6828975773567
"7.1.7",820,11,831,98.676293622142
"7.1.8",2559,185,2744,93.2580174927114
"7.1.9",592,14,606,97.6897689768977
"8.1.1",4080,247,4327,94.2916570372082
"8.1.10",215,10,225,95.5555555555556
"8.1.3",2272,112,2384,95.3020134228188
"8.1.4",4684,54,4738,98.8602785985648
"8.1.5",833,7,840,99.1666666666667
"8.1.6",247,4,251,98.406374501992
"8.1.7",5950,244,6194,96.0607039070068
"8.1.8",974,30,1004,97.0119521912351
"8.2.1",455,7,462,98.4848484848485
"8.2.2",76,2,78,97.4358974358974
"8.2.3",209,2,211,99.0521327014218
"8.2.4",63,NA,NA,NA
"8.3.1",2156,79,2235,96.4653243847875
"8.3.2",575,10,585,98.2905982905983
"8.3.3",3451,30,3481,99.1381786842861
"8.3.4",21709,1070,22779,95.302691075113
"8.3.5",48906,1866,50772,96.3247459229497
"8.3.6",3383,23,3406,99.3247210804463
"8.3.7",14414,1492,15906,90.6198918647051
"8.3.8",3898,119,4017,97.0375902414737
"8.4.1",8450,269,8719,96.9147838054823
"8.4.2",5552,35,5587,99.3735457311616
"8.4.3",2868,22,2890,99.2387543252595
"8.4.4",4875,341,5216,93.4624233128834
"8.4.5",5435,53,5488,99.0342565597668
"8.4.6",1013,16,1029,98.4450923226433
"8.4.7",1188,33,1221,97.2972972972973
"8.4.8",1948,229,2177,89.4809370693615
"8.4.9",4349,64,4413,98.5497394062996
"8.5.1",7934,433,8367,94.8249073742082
"8.5.2",544,16,560,97.1428571428571
"8.5.3",14992,6225,21217,70.6603195550738
"8.5.4",7509,140,7649,98.1696953850176
"9.2.1",2685,49,2734,98.2077542062912
"9.2.2",393,1,394,99.746192893401
"9.2.3",1199,11,1210,99.0909090909091
"9.2.4",1019,5,1024,99.51171875
"9.3.1",1476,204,1680,87.8571428571429
"9.3.3",2999,3019,6018,49.8338318378199
"9.3.4",107,102,209,51.1961722488038
"9.4.1",2317,924,3241,71.4902807775378
"9.4.2",3220,328,3548,90.7553551296505
"9.4.3",978,649,1627,60.1106330669945
"9.4.4",182,7,189,96.2962962962963
"9.4.5",4629,170,4799,96.4575953323609
"9.4.6",1121,244,1365,82.1245421245421
"9.4.7",3917,68,3985,98.2936010037641
"9.5.1",1451,314,1765,82.2096317280453
"9.6.1",1165,16,1181,98.645215918713
