"corr","NA_L3CODE"
0.943064504671405,"10.2.2"
0.905107222283421,"11.1.2"
0.787694873531059,"11.1.3"
0.750414314292301,"13.1.1"
0.9269758340986,"5.2.2"
0.282102142797006,"6.2.10"
0.838892213415121,"6.2.11"
0.794015979808074,"6.2.12"
0.401703825093544,"6.2.14"
0.40916107771693,"6.2.3"
0.780488360293805,"6.2.8"
0.77223288357029,"8.1.1"
0.802892424635776,"8.1.3"
0.943679123459522,"8.1.4"
0.881272301921089,"8.3.3"
0.96032879018453,"8.3.4"
0.976956530842417,"8.3.5"
0.900877403577645,"8.3.6"
0.873671636381255,"8.3.7"
0.741368365821469,"8.3.8"
0.920408731729773,"8.4.1"
0.809167947962873,"8.4.2"
0.90915369433364,"8.4.4"
0.950971677342566,"8.4.5"
0.756572905969626,"8.4.6"
0.677925984571185,"8.4.7"
0.780251629055632,"8.4.8"
0.942197874554658,"8.5.1"
0.94891423625118,"8.5.3"
0.825664889377978,"8.5.4"
0.882619861285585,"9.2.1"
0.909098830543383,"9.2.3"
0.755029759261861,"9.2.4"
0.29983260339817,"9.3.1"
0.493044397550847,"9.4.1"
0.593619847976221,"9.4.2"
0.553694651527469,"9.4.3"
0.648960282316153,"9.4.5"
0.557462178908233,"9.4.6"
0.664411938906364,"9.4.7"
0.531804334727298,"9.5.1"
0.555955903427641,"9.6.1"
0.530469451163199,"10.1.2"
0.95427604423121,"11.1.1"
0.617286983983129,"7.1.7"
0.922769589264083,"8.4.9"
0.513196939488449,"9.3.3"
0.240884169011217,"10.1.4"
0.686299416904007,"10.1.5"
0.698028176972607,"10.1.6"
0.58108552166912,"10.1.7"
0.693723604580331,"10.2.1"
0.565256040105396,"12.1.1"
0.468260223078794,"15.4.1"
0.96060795471958,"5.2.1"
0.897164957665952,"5.3.1"
0.805470752905953,"5.3.3"
0.41668694133598,"6.2.13"
0.294546578470283,"6.2.15"
0.783471400074904,"6.2.7"
0.564684043763569,"6.2.9"
0.655759424397346,"7.1.8"
0.839342321899531,"8.1.5"
0.711436711597949,"8.1.6"
0.892464030377521,"8.1.7"
0.904592237011967,"8.1.8"
0.624527032132172,"8.2.1"
0.536902130324824,"8.2.2"
0.656123032340817,"8.2.3"
0.240412882162053,"8.2.4"
0.720560971132563,"8.3.1"
0.701875230804604,"8.3.2"
0.880200467573563,"8.4.3"
0.496507050007892,"8.5.2"
0.693935186986427,"9.2.2"
0.483694301177045,"9.3.4"
0.596874558489102,"9.4.4"
0.465302188704841,"10.2.4"
0.432901773301592,"10.1.8"
0.401080761920927,"8.1.10"
0.602476165777576,"7.1.9"
0.324648376172714,"6.2.5"
0.40418934019153,"10.1.3"
0.267090985298741,"6.2.4"
